input_text,ground_truth_label,model_output_label,model_score,human_rating_placeholder,ai_readable_label,ai_rationale
u know u want to but i will not push,1,1,0.3178629852459108,,CONSENSUAL_FLIRT,lexical pattern features
this could be fun if u r comfortable with it,1,1,0.8334185152174288,,CONSENSUAL_FLIRT,boundary or consent wording
is it okay if i call you cute,1,1,0.9095733075728915,,CONSENSUAL_FLIRT,boundary or consent wording
want to grab coffee this week if you are free,1,1,0.9038298722180597,,CONSENSUAL_FLIRT,lexical pattern features
come over to my place now no excuses,0,0,0.09358405709682588,,TOO_FORWARD,lexical pattern features
hey send me a pic right now i do not care if you are busy,0,0,0.07471712061002658,,TOO_FORWARD,deadline or time pressure
hey would you be comfortable with a dinner date,1,1,0.9018392106901123,,CONSENSUAL_FLIRT,boundary or consent wording
we should plan a walk on campus if you are free please,1,1,0.8970534470755395,,CONSENSUAL_FLIRT,lexical pattern features
come on do not make me wait all night,0,0,0.12675807814211817,,TOO_FORWARD,teasing push phrasing
stop overthinking just come hang out,0,1,0.2274811944048676,,CONSENSUAL_FLIRT,teasing push phrasing
you owe me a kiss for replying this late please,0,0,0.08595515856357622,,TOO_FORWARD,lexical pattern features
you could at least tell me you miss me,0,1,0.7695353656333799,,CONSENSUAL_FLIRT,guilt framing detected
would you be comfortable with a dinner date,1,1,0.9018392106901123,,CONSENSUAL_FLIRT,boundary or consent wording
do not be a tease you know what i want please,0,0,0.10262179371348806,,TOO_FORWARD,lexical pattern features
hey stop overthinking just come hang out,0,1,0.2274811944048676,,CONSENSUAL_FLIRT,teasing push phrasing
i like this but say if i should slow down,1,1,0.9255930925821476,,CONSENSUAL_FLIRT,boundary or consent wording
hey we should plan a walk on campus if you are free,1,1,0.9060561211818736,,CONSENSUAL_FLIRT,lexical pattern features
hey you never reply fast it makes me think you do not care,0,1,0.153699735370535,,CONSENSUAL_FLIRT,guilt framing detected
stop pretending meet me at midnight or else,0,0,0.0820157546116769,,TOO_FORWARD,deadline or time pressure
if you liked me you would have said yes already,0,1,0.4630328140358303,,CONSENSUAL_FLIRT,guilt framing detected
you owe me a kiss for replying this late :),0,0,0.09917858034781403,,TOO_FORWARD,lexical pattern features
is it okay if i call you cute please,1,1,0.8943552927558,,CONSENSUAL_FLIRT,boundary or consent wording
i am not sure if this is flirting or just friendly :),1,1,0.3973820415166111,,CONSENSUAL_FLIRT,hedge or uncertainty phrasing
we should plan a walk on campus if u r free,1,1,0.8900092026747437,,CONSENSUAL_FLIRT,lexical pattern features
hey skip the small talk let us hook up now,0,0,0.11684350657735337,,TOO_FORWARD,lexical pattern features
stop overthinking just come hang out :),0,1,0.22367108041415437,,CONSENSUAL_FLIRT,teasing push phrasing
is it okay if i call you cute,1,1,0.9095733075728915,,CONSENSUAL_FLIRT,boundary or consent wording
u never reply fast it makes me think u do not cr,0,1,0.15005356932745278,,CONSENSUAL_FLIRT,lexical pattern features
hey i like this but say if i should slow down,1,1,0.9267615974779427,,CONSENSUAL_FLIRT,boundary or consent wording
i am enjoying this tell me your favorite movie please,1,1,0.8845332923139463,,CONSENSUAL_FLIRT,lexical pattern features
tell me your boundaries and i will respect them please,1,1,0.8978797996980306,,CONSENSUAL_FLIRT,lexical pattern features
