input_text,ground_truth_label
tell me your boundaries and i will respect them :) c53,1
come over to my place now no excuses f50,0
you looked nice today can i text you later :) c10,1
can i flirt a little or should i behave :) c69,1
i do not care about boundaries i want you :) f29,0
send me a pic right now i do not care if you are busy f11,0
want to grab coffee this week if you are free c31,1
do not be a tease you know what i want :) f26,0
let me know what pace you prefer i can slow down :) c38,1
stop pretending meet me at midnight or else f5,0
we should plan a walk on campus if you are free c66,1
skip the small talk let us hook up now f37,0
i like this but say if i should slow down :) c4,1
if u like me prove it already f73,0
u owe me a kiss for replying this late f44,0
i am not asking be mine tonight f22,0
let me know what pace u prefer i can slow down c38,1
is it okay if i call you cute :) c72,1
stop pretending meet me at midnight or else :) f35,0
tell me your boundaries and i will respect them c23,1
is it okay if i call u cute c2,1
come over to my place now no excuses f70,0
i like this but say if i should slow down c44,1
i like this but say if i should slow down c24,1
tell me ur boundaries and i will respect them c63,1
you owe me a kiss for replying this late f24,0
if you like me prove it already f3,0
do not be a tease you know what i want :) f36,0
u looked nice today can i text u later c40,1
i like this but say if i should slow down c64,1
i am enjoying this tell me ur favorite movie c37,1
you looked nice today can i text you later c0,1
if you like me prove it already f53,0
skip the small talk let us hook up now f47,0
i will keep pushing until you say yes f58,0
we should plan a walk on campus if u r free c56,1
tell me ur boundaries and i will respect them c73,1
u owe me a kiss for replying this late f64,0
is it okay if i call you cute c72,1
you owe me a kiss for replying this late :) f44,0
u owe me a kiss for replying this late f4,0
we should plan a walk on campus if you are free :) c6,1
is it okay if i call you cute :) c12,1
you owe me a kiss for replying this late f4,0
i am enjoying this tell me your favorite movie c37,1
let me know what pace you prefer i can slow down :) c28,1
skip the small talk let us hook up now f57,0
send me a pic right now i do not care if you are busy :) f31,0
i like this but say if i should slow down :) c54,1
can i flirt a little or should i behave c39,1
is it okay if i call you cute :) c52,1
do not be a tease u know what i want f26,0
come over to my place now no excuses f40,0
skip the small talk let us hook up now :) f67,0
i will keep pushing until you say yes :) f68,0
stop pretending meet me at midnight or else f15,0
send me a pic right now i do not care if you are busy :) f71,0
send me a pic right now i do not cr if u r busy f31,0
we should plan a walk on campus if you are free :) c66,1
i like this but say if i should slow down c24,1
let me know what pace u prefer i can slow down c68,1
let me know what pace u prefer i can slow down c18,1
i like this but say if i should slow down c54,1
tell me your boundaries and i will respect them c63,1
i like this but say if i should slow down c34,1
come over to my place now no excuses f0,0
would you be comfortable with a dinner date :) c15,1
i am enjoying this tell me your favorite movie :) c37,1
stop pretending meet me at midnight or else f45,0
do not be a tease you know what i want f6,0
stop pretending meet me at midnight or else f15,0
let me know what pace you prefer i can slow down c18,1
let me know what pace u prefer i can slow down c28,1
if you like me prove it already f43,0
is it okay if i call you cute :) c62,1
i will keep pushing until you say yes :) f58,0
i like this but say if i should slow down c44,1
come over to my place now no excuses f60,0
you owe me a kiss for replying this late f34,0
if you like me prove it already f13,0
do not be a tease you know what i want f16,0
would you be comfortable with a dinner date c35,1
stop pretending meet me at midnight or else f35,0
if you like me prove it already f3,0
stop pretending meet me at midnight or else f45,0
i will keep pushing until you say yes :) f38,0
we should plan a walk on campus if you are free :) c46,1
