input_text,ground_truth_label,model_output_label,model_score,human_rating_placeholder
skip the small talk let us hook up now please,0,,,
we could hang out later if not totally fine what would feel comfortable,1,,,
i will keep pushing until you say yes please,0,,,
stop pretending meet me at midnight or else please,0,,,
hey come over to my place now no excuses,0,,,
hey if you like me prove it already,0,,,
i am not asking be mine tonight,0,,,
hey send me a pic right now i do not care if you are busy,0,,,
send me a pic right now i do not care if you are busy,0,,,
you looked nice today can i text you later please,1,,,
tell me your boundaries and i will respect them,1,,,
hey tell me your boundaries and i will respect them,1,,,
come over tonight if you actually like me otherwise do not waste time,0,,,
do not be a tease you know what i want,0,,,
i do not care about boundaries i want you please,0,,,
come over to my place now no excuses,0,,,
hey just send a pic so we can skip the small talk i am done waiting,0,,,
hey i like where this is going tell me your pace maybe a late coffee,1,,,
hey i like this but say if i should slow down,1,,,
hey you are cute if it is okay to say we can plan something chill or just chat,1,,,
can i flirt a little or should i behave please,1,,,
tell me your boundaries and i will respect them,1,,,
if you are interested prove it no more slow pace please,0,,,
hey we could hang out later if not totally fine what would feel comfortable,1,,,
just send a pic so we can skip the small talk i am done waiting,0,,,
tell me your boundaries and i will respect them please,1,,,
hey i am not asking be mine tonight,0,,,
hey we should plan a walk on campus if you are free,1,,,
hey if you are interested prove it no more slow pace,0,,,
let me know what pace you prefer i can slow down please,1,,,
i am enjoying this tell me your favorite movie please,1,,,
stop pretending meet me at midnight or else,0,,,
hey stop pretending meet me at midnight or else,0,,,
i like where this is going tell me your pace maybe a late coffee please,1,,,
hey let us meet at midnight no small talk decide now,0,,,
we should plan a walk on campus if you are free please,1,,,
if you like me prove it already,0,,,
hey i do not care about boundaries i want you,0,,,
hey we should plan a walk on campus if you are free,1,,,
you owe me a kiss for replying this late,0,,,
hey is it okay if i call you cute,1,,,
do not be a tease you know what i want,0,,,
can i flirt a little or should i behave,1,,,
hey you looked nice today can i text you later,1,,,
hey skip the small talk let us hook up now,0,,,
let me know what pace you prefer i can slow down,1,,,
hey you looked nice today can i text you later,1,,,
hey would you be comfortable with a dinner date,1,,,
hey want to grab coffee this week if you are free,1,,,
hey i like this but say if i should slow down,1,,,
hey you owe me a kiss for replying this late,0,,,
if you like me prove it already,0,,,
if you like me prove it already please,0,,,
stop pretending meet me at midnight or else,0,,,
i do not care about boundaries i want you,0,,,
hey tell me your boundaries and i will respect them,1,,,
tell me your boundaries and i will respect them please,1,,,
come over to my place now no excuses please,0,,,
hey you looked nice today can i text you later,1,,,
can i flirt a little or should i behave,1,,,
is it okay if i call you cute please,1,,,
hey just send a pic so we can skip the small talk i am done waiting,0,,,
hey tell me your boundaries and i will respect them,1,,,
come over to my place now no excuses please,0,,,
you owe me a kiss for replying this late,0,,,
hey i like this but say if i should slow down,1,,,
i am not asking be mine tonight,0,,,
hey i do not care about boundaries i want you,0,,,
i am not asking be mine tonight,0,,,
do not be a tease you know what i want please,0,,,
you looked nice today can i text you later please,1,,,
hey stop pretending meet me at midnight or else,0,,,
want to grab coffee this week if you are free,1,,,
i like this but say if i should slow down please,1,,,
hey i will keep pushing until you say yes,0,,,
hey do not be a tease you know what i want,0,,,
would you be comfortable with a dinner date please,1,,,
you looked nice today can i text you later,1,,,
if i am overstepping stop me i can tone it down how does this feel,1,,,
i like this but say if i should slow down please,1,,,
do not be a tease you know what i want,0,,,
i want to keep flirting but only if you are into it should we slow down or keep going please,1,,,
want to grab coffee this week if you are free,1,,,
hey you owe me a kiss for replying this late,0,,,
hey i like where this is going tell me your pace maybe a late coffee,1,,,
come over tonight if you actually like me otherwise do not waste time,0,,,
would you be comfortable with a dinner date,1,,,
we should plan a walk on campus if you are free,1,,,
if i am overstepping stop me i can tone it down how does this feel please,1,,,
hey i am enjoying this tell me your favorite movie,1,,,
skip the small talk let us hook up now please,0,,,
you are cute if it is okay to say we can plan something chill or just chat please,1,,,
send me a pic right now i do not care if you are busy please,0,,,
let us meet at midnight no small talk decide now please,0,,,
hey if i am overstepping stop me i can tone it down how does this feel,1,,,
hey if you like me prove it already,0,,,
you owe me a kiss for replying this late please,0,,,
come over to my place now no excuses please,0,,,
would you be comfortable with a dinner date please,1,,,
if you are interested prove it no more slow pace,0,,,
i am not asking be mine tonight please,0,,,
hey want to grab coffee this week if you are free,1,,,
let me know what pace you prefer i can slow down please,1,,,
send me a pic right now i do not care if you are busy please,0,,,
come over to my place now no excuses,0,,,
come over tonight if you actually like me otherwise do not waste time please,0,,,
i like this but say if i should slow down,1,,,
stop pretending meet me at midnight or else please,0,,,
i like this but say if i should slow down please,1,,,
we could hang out later if not totally fine what would feel comfortable please,1,,,
you owe me a kiss for replying this late please,0,,,
want to grab coffee this week if you are free,1,,,
i am enjoying this tell me your favorite movie,1,,,
let me know what pace you prefer i can slow down,1,,,
hey can i flirt a little or should i behave,1,,,
if you like me prove it already please,0,,,
you looked nice today can i text you later,1,,,
you owe me a kiss for replying this late please,0,,,
enough boundaries either you want this or you do not,0,,,
want to grab coffee this week if you are free please,1,,,
stop pretending meet me at midnight or else please,0,,,
i like where this is going tell me your pace maybe a late coffee please,1,,,
i am not asking be mine tonight please,0,,,
hey is it okay if i call you cute,1,,,
i am enjoying this tell me your favorite movie,1,,,
hey do not be a tease you know what i want,0,,,
hey let me know what pace you prefer i can slow down,1,,,
hey let me know what pace you prefer i can slow down,1,,,
if you like me prove it already please,0,,,
send me a pic right now i do not care if you are busy,0,,,
i am enjoying this tell me your favorite movie please,1,,,
hey i am enjoying this tell me your favorite movie,1,,,
i do not care about boundaries i want you please,0,,,
you owe me a kiss for replying this late,0,,,
i will keep pushing until you say yes,0,,,
hey would you be comfortable with a dinner date,1,,,
come over tonight if you actually like me otherwise do not waste time please,0,,,
hey come over tonight if you actually like me otherwise do not waste time,0,,,
stop pretending meet me at midnight or else,0,,,
we should plan a walk on campus if you are free,1,,,
just send a pic so we can skip the small talk i am done waiting,0,,,
skip the small talk let us hook up now,0,,,
i will keep pushing until you say yes,0,,,
hey skip the small talk let us hook up now,0,,,
i like this but say if i should slow down,1,,,
hey do not be a tease you know what i want,0,,,
hey want to grab coffee this week if you are free,1,,,
i want to keep flirting but only if you are into it should we slow down or keep going,1,,,
is it okay if i call you cute please,1,,,
i will keep pushing until you say yes please,0,,,
hey i am not asking be mine tonight,0,,,
if i am overstepping stop me i can tone it down how does this feel,1,,,
hey enough boundaries either you want this or you do not,0,,,
i like where this is going tell me your pace maybe a late coffee,1,,,
tell me your boundaries and i will respect them,1,,,
tell me your boundaries and i will respect them please,1,,,
is it okay if i call you cute,1,,,
skip the small talk let us hook up now,0,,,
hey i want to keep flirting but only if you are into it should we slow down or keep going,1,,,
do not be a tease you know what i want please,0,,,
enough boundaries either you want this or you do not please,0,,,
is it okay if i call you cute,1,,,
send me a pic right now i do not care if you are busy please,0,,,
hey come over tonight if you actually like me otherwise do not waste time,0,,,
send me a pic right now i do not care if you are busy,0,,,
would you be comfortable with a dinner date,1,,,
hey send me a pic right now i do not care if you are busy,0,,,
hey i will keep pushing until you say yes,0,,,
if you like me prove it already,0,,,
hey can i flirt a little or should i behave,1,,,
hey would you be comfortable with a dinner date,1,,,
we should plan a walk on campus if you are free,1,,,
i do not care about boundaries i want you,0,,,
hey we should plan a walk on campus if you are free,1,,,
hey is it okay if i call you cute,1,,,
hey if you like me prove it already,0,,,
want to grab coffee this week if you are free please,1,,,
hey i am not asking be mine tonight,0,,,
just send a pic so we can skip the small talk i am done waiting please,0,,,
come over to my place now no excuses,0,,,
